Symbol,Name,Sector,
MMM,3M,Industrials,
AOS,A.O. Smith Corp,Industrials,
ABT,Abbott Laboratories,Health Care,
ABBV,AbbVie ,Health Care,
ACN,Accenture,Information Technology,
ATVI,Activision Blizzard,Information Technology,
AYI,Acuity Brands,Industrials,
ADBE,Adobe Systems,Information Technology,
AAP,Advance Auto Parts,Consumer Discretionary,
AMD,Advanced Micro Devices,Information Technology,
AES,AES Corp,Utilities,
AMG,Affiliated Managers,Financials,
AFL,AFLAC,Financials,
A,Agilent Technologies,Health Care,
APD,Air Products & Chemicals,Materials,
AKAM,Akamai Technologies,Information Technology,
ALK,Alaska Air,Industrials,
ALB,Albemarle,Materials,
ARE,Alexandria Real Estate Equities Inc,Real Estate,
ALXN,Alexion Pharmaceuticals,Health Care,
ALGN,Align Technology,Health Care,
ALLE,Allegion,Industrials,
AGN,Allergan,Health Care,
ADS,Alliance Data Systems,Information Technology,
LNT,Alliant Energy,Utilities,
ALL,Allstate,Financials,
GOOGL,Alphabet,Information Technology,
GOOG,Alphabet,Information Technology,
MO,Altria,Consumer Staples,
AMZN,Amazon,Consumer Discretionary,
AEE,Ameren,Utilities,
AAL,American Airlines,Industrials,
AEP,American Electric Power,Utilities,
AXP,American Express,Financials,
AIG,American International,Financials,
AMT,American Tower,Real Estate,
AWK,American Water Works Company,Utilities,
AMP,Ameriprise Financial,Financials,
ABC,AmerisourceBergen,Health Care,
AME,AMETEK ,Industrials,
AMGN,Amgen ,Health Care,
APH,Amphenol,Information Technology,
ADI,Analog Devices,Information Technology,
ANDV,Andeavor,Energy,
ANSS,ANSYS,Information Technology,
ANTM,Anthem ,Health Care,
AON,Aon ,Financials,
APA,Apache Corporation,Energy,
AIV,Apartment Investment & Management,Real Estate,
AAPL,Apple ,Information Technology,
AMAT,Applied Materials ,Information Technology,
APTV,Aptiv ,Consumer Discretionary,
ADM,Archer-Daniels-Midland,Consumer Staples,
ARNC,Arconic ,Industrials,
AJG,Arthur J. Gallagher,Financials,
AIZ,Assurant ,Financials,
T,AT&T ,Telecommunication Services,
ADSK,Autodesk ,Information Technology,
ADP,Automatic Data Processing,Information Technology,
AZO,AutoZone,Consumer, Discretionary
AVB,AvalonBay Communities ,Real Estate,
AVY,Avery Dennison,Materials,
BLL,Ball Corp,Materials,
BAC,Bank of America Corp,Financials,
BAX,Baxter International ,Health Care,
BBT,BB&T Corporation,Financials,
BDX,Becton Dickinson,Health Care,
BBY,Best Buy ,Consumer Discretionary,
BIIB,Biogen ,Health Care,
BLK,BlackRock,Financials,
HRB,Block H&R,Financials,
BA,Boeing,Industrials,
BKNG,Booking,Consumer Discretionary,
BWA,BorgWarner,Consumer Discretionary,
BXP,Boston Properties,Real Estate,
BSX,Boston Scientific,Health Care,
BHF,Brighthouse Financial,Financials,
BMY,Bristol-Myers Squibb,Health Care,
AVGO,Broadcom,Information Technology,
CHRW,C. H. Robinson Worldwide,Industrials,
CA,CA,Information Technology,
COG,Cabot Oil & Gas,Energy,
CDNS,Cadence Design Systems,Information Technology,
CPB,Campbell Soup,Consumer Staples,
COF,Capital One Financial,Financials,
CAH,Cardinal Health ,Health Care,
KMX,Carmax,Consumer Discretionary,
CCL,Carnival ,Consumer Discretionary,
CAT,Caterpillar ,Industrials,
CBOE,Cboe Global Markets,Financials,
CBRE,CBRE Group,Real Estate,
CELG,Celgene ,Health Care,
CNC,Centene Corporation,Health Care,
CNP,CenterPoint Energy,Utilities,
CTL,CenturyLink,Telecommunication Services,
CERN,Cerner,Health Care,
CF,CF Industries,Materials,
SCHW,Charles Schwab Corporation,Financials,
CHTR,Charter Communications,Consumer Discretionary,
CVX,Chevron ,Energy,
CMG,Chipotle Mexican Grill,Consumer Discretionary,
CB,Chubb,Financials,
CHD,Church & Dwight,Consumer Staples,
CI,CIGNA ,Health Care,
XEC,Cimarex Energy,Energy,
CINF,Cincinnati Financial,Financials,
CTAS,Cintas Corporation,Industrials,
CSCO,Cisco Systems,Information Technology,
C,Citigroup ,Financials,
CFG,Citizens Financial,Financials,
CTXS,Citrix Systems,Information Technology,
CME,CME Group ,Financials,
CMS,CMS Energy,Utilities,
KO,Coca-Cola,Consumer Staples,
CTSH,Cognizant Technology Solutions,Information Technology,
CL,Colgate-Palmolive,Consumer Staples,
CMCSA,Comcast ,Consumer Discretionary,
CMA,Comerica ,Financials,
CAG,Conagra Brands,Consumer Staples,
CXO,Concho Resources,Energy,
COP,ConocoPhillips,Energy,
ED,Consolidated Edison,Utilities,
STZ,Constellation Brands,Consumer Staples,
GLW,Corning ,Information Technology,
COST,Costco Wholesale ,Consumer Staples,
COTY,Coty,Consumer Staples,
CCI,Crown Castle International ,Real Estate,
CSX,CSX ,Industrials,
CMI,Cummins ,Industrials,
CVS,CVS Health,Consumer Staples,
DHI,D. R. Horton,Consumer Discretionary,
DHR,Danaher ,Health Care,
DRI,Darden Restaurants,Consumer Discretionary,
DVA,DaVita ,Health Care,
DE,Deere,Industrials,
DAL,Delta Air Lines ,Industrials,
XRAY,Dentsply Sirona,Health Care,
DVN,Devon Energy ,Energy,
DLR,Digital Realty Trust,Real Estate,
DFS,Discover Financial Services,Financials,
DISCA,Discovery,Consumer Discretionary,
DISCK,Discovery,Consumer Discretionary,
DISH,Dish Network,Consumer Discretionary,
DG,Dollar General,Consumer Discretionary,
DLTR,Dollar Tree,Consumer Discretionary,
D,Dominion Energy,Utilities,
DOV,Dover ,Industrials,
DTE,DTE Energy,Utilities,
DUK,Duke Energy,Utilities,
DRE,Duke Realty,Real Estate,
DXC,DXC Technology,Information Technology,
ETFC,E*Trade,Financials,
EMN,Eastman Chemical,Materials,
ETN,Eaton Corporation,Industrials,
EBAY,eBay ,Information Technology,
ECL,Ecolab ,Materials,
EIX,Edison,Utilities,
EW,Edwards Lifesciences,Health Care,
EA,Electronic Arts,Information Technology,
EMR,Emerson Electric Company,Industrials,
ETR,Entergy ,Utilities,
EVHC,Envision Healthcare,Health Care,
EOG,EOG Resources,Energy,
EQT,EQT Corporation,Energy,
EFX,Equifax ,Industrials,
EQIX,Equinix,Real Estate,
EQR,Equity Residential,Real Estate,
ESS,Essex Property,Real Estate,
EL,Estee Lauder,Consumer Staples,
RE,Everest Re Group ,Financials,
ES,Eversource Energy,Utilities,
EXC,Exelon ,Utilities,
EXPE,Expedia ,Consumer Discretionary,
EXPD,Expeditors International,Industrials,
EXR,Extra Space Storage,Real Estate,
XOM,Exxon Mobil ,Energy,
FFIV,F5 Networks,Information Technology,
FB,Facebook ,Information Technology,
FAST,Fastenal,Industrials,
FRT,Federal Realty Investment Trust,Real Estate,
FDX,FedEx Corporation,Industrials,
FIS,Fidelity National Information Services,Information Technology,
FITB,Fifth Third Bancorp,Financials,
FE,FirstEnergy,Utilities,
FISV,Fiserv,Information Technology,
FLIR,FLIR Systems,Information Technology,
FLS,Flowserve Corporation,Industrials,
FLR,Fluor ,Industrials,
FMC,FMC Corporation,Materials,
FL,Foot Locker,Consumer Discretionary,
F,Ford Motor,Consumer Discretionary,
FTV,Fortive,Industrials,
FBHS,Fortune Brands Home & Security,Industrials,
BEN,Franklin Resources,Financials,
FCX,Freeport-McMoRan ,Materials,
GRMN,Garmin,Consumer Discretionary,
IT,Gartner,Information Technology,
GD,General Dynamics,Industrials,
GE,General Electric,Industrials,
GIS,General Mills,Consumer Staples,
GM,General Motors,Consumer Discretionary,
GPC,Genuine Parts,Consumer Discretionary,
GILD,Gilead Sciences,Health Care,
GPN,Global Payments ,Information Technology,
GS,Goldman Sachs Group,Financials,
GT,Goodyear Tire & Rubber,Consumer Discretionary,
GWW,Grainger,Industrials,
HAL,Halliburton,Energy,
HBI,Hanesbrands,Consumer Discretionary,
HOG,Harley-Davidson,Consumer Discretionary,
HIG,Hartford Financial,Financials,
HAS,Hasbro ,Consumer Discretionary,
HCA,HCA Holdings,Health Care,
HP,Helmerich & Payne,Energy,
HSIC,Henry Schein,Health Care,
HES,Hess Corporation,Energy,
HPE,Hewlett Packard Enterprise,Information Technology,
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,
HOLX,Hologic,Health Care,
HD,Home Depot,Consumer Discretionary,
HON,Honeywell ,Industrials,
HRL,Hormel Foods ,Consumer Staples,
HST,Host Hotels & Resorts,Real Estate,
HPQ,HP ,Information Technology,
HUM,Humana ,Health Care,
HBAN,Huntington Bancshares,Financials,
HII,Huntington Ingalls Industries,Industrials,
IDXX,IDEXX Laboratories,Health Care,
INFO,IHS Markit ,Industrials,
ITW,Illinois Tool Works,Industrials,
ILMN,Illumina,Health Care,
INCY,Incyte,Health Care,
IR,Ingersoll-Rand ,Industrials,
INTC,Intel,Information Technology,
ICE,Intercontinental Exchange,Financials,
IBM,International Business Machines,Information Technology,
IP,International Paper,Materials,
IPG,Interpublic Group,Consumer Discretionary,
IFF,Intl Flavors & Fragrances,Materials,
INTU,Intuit ,Information Technology,
ISRG,Intuitive Surgical ,Health Care,
IVZ,Invesco,Financials,
IPGP,IPG Photonics ,Information Technology,
IQV,IQVIA Holdings ,Health Care,
IRM,Iron Mountain Incorporated,Real Estate,
JBHT,J. B. Hunt Transport Services,Industrials,
JEC,Jacobs Engineering Group,Industrials,
SJM,JM Smucker,Consumer Staples,
JNJ,Johnson & Johnson,Health Care,
JCI,Johnson Controls International,Industrials,
JPM,JPMorgan Chase,Financials,
JNPR,Juniper Networks,Information Technology,
KSU,Kansas City Southern,Industrials,
K,Kellogg,Consumer Staples,
KEY,KeyCorp,Financials,
KMB,Kimberly-Clark,Consumer Staples,
KIM,Kimco Realty,Real Estate,
KMI,Kinder Morgan,Energy,
KLAC,KLA-Tencor ,Information Technology,
KSS,Kohl's ,Consumer Discretionary,
KHC,Kraft Heinz,Consumer Staples,
KR,Kroger,Consumer Staples,
LB,L Brands ,Consumer Discretionary,
LH,Laboratory  of America,Health Care,
LRCX,Lam Research,Information Technology,
LEG,Leggett & Platt,Consumer Discretionary,
LEN,Lennar ,Consumer Discretionary,
LUK,Leucadia National ,Financials,
LLY,Lilly (Eli),Health Care,
LNC,Lincoln National,Financials,
LKQ,LKQ Corporation,Consumer Discretionary,
LMT,Lockheed Martin ,Industrials,
L,Loews ,Financials,
LOW,Lowe's Cos.,Consumer Discretionary,
LYB,LyondellBasell,Materials,
MTB,M&T Bank ,Financials,
MAC,Macerich,Real Estate,
M,Macy's ,Consumer Discretionary,
MRO,Marathon Oil ,Energy,
MPC,Marathon Petroleum,Energy,
MAR,Marriott,Consumer Discretionary,
MMC,Marsh & McLennan,Financials,
MLM,Martin Marietta Materials,Materials,
MAS,Masco,Industrials,
MA,Mastercard ,Information Technology,
MAT,Mattel,Consumer Discretionary,
MKC,McCormick,Consumer Staples,
MCD,McDonald's,Consumer Discretionary,
MCK,McKesson,Health Care,
MDT,Medtronic,Health Care,
MRK,Merck,Health Care,
MET,MetLife ,Financials,
MTD,Mettler Toledo,Health Care,
MGM,MGM Resorts International,Consumer Discretionary,
MCHP,Microchip Technology,Information Technology,
MU,Micron Technology,Information Technology,
MSFT,Microsoft ,Information Technology,
MAA,Mid-America Apartments,Real Estate,
MHK,Mohawk Industries,Consumer Discretionary,
TAP,Molson Coors Brewing Company,Consumer Staples,
MDLZ,Mondelez International,Consumer Staples,
MNST,Monster Beverage,Consumer Staples,
MCO,Moody's,Financials,
MS,Morgan Stanley,Financials,
MSI,Motorola Solutions ,Information Technology,
MYL,Mylan,Health Care,
NDAQ,Nasdaq,Financials,
NOV,National Oilwell Varco ,Energy,
NAVI,Navient,Financials,
NKTR,Nektar Therapeutics,Health Care,
NTAP,NetApp,Information Technology,
NFLX,Netflix ,Information Technology,
NWL,Newell Brands,Consumer Discretionary,
NEM,Newmont Mining Corporation,Materials,
NWSA,News,Consumer Discretionary,
NWS,News,Consumer Discretionary,
NEE,NextEra Energy,Utilities,
NLSN,Nielsen Holdings,Industrials,
NKE,Nike,Consumer Discretionary,
NI,NiSource ,Utilities,
NBL,Noble Energy,Energy,
JWN,Nordstrom,Consumer Discretionary,
NSC,Norfolk Southern ,Industrials,
NTRS,Northern Trust ,Financials,
NOC,Northrop Grumman ,Industrials,
NCLH,Norwegian Cruise Line,Consumer Discretionary,
NRG,NRG Energy,Utilities,
NUE,Nucor ,Materials,
NVDA,Nvidia,Information Technology,
ORLY,O'Reilly Automotive,Consumer Discretionary,
OXY,Occidental Petroleum,Energy,
OMC,Omnicom Group,Consumer Discretionary,
OKE,ONEOK,Energy,
ORCL,Oracle ,Information Technology,
PCAR,PACCAR ,Industrials,
PKG,Packaging Corporation of America,Materials,
PH,Parker-Hannifin,Industrials,
PAYX,Paychex ,Information Technology,
PYPL,PayPal,Information Technology,
PNR,Pentair ,Industrials,
PBCT,People's United Financial,Financials,
PEP,PepsiCo ,Consumer Staples,
PKI,PerkinElmer,Health Care,
PRGO,Perrigo,Health Care,
PFE,Pfizer ,Health Care,
PCG,PG&E ,Utilities,
PM,Philip Morris,Consumer Staples,
PSX,Phillips 66,Energy,
PNW,Pinnacle West Capital,Utilities,
PXD,Pioneer Natural Resources,Energy,
PNC,PNC Financial Services,Financials,
RL,Polo Ralph Lauren ,Consumer Discretionary,
PPG,PPG Industries,Materials,
PPL,PPL ,Utilities,
PX,Praxair ,Materials,
PFG,Principal Financial,Financials,
PG,Procter & Gamble,Consumer Staples,
PGR,Progressive ,Financials,
PLD,Prologis,Real Estate,
PRU,Prudential Financial,Financials,
PEG,Public Serv. Enterprise ,Utilities,
PSA,Public Storage,Real Estate,
PHM,Pulte Homes ,Consumer Discretionary,
PVH,PVH ,Consumer Discretionary,
QRVO,Qorvo,Information Technology,
QCOM,QUALCOMM ,Information Technology,
PWR,Quanta Services ,Industrials,
DGX,Quest Diagnostics,Health Care,
RRC,Range Resources ,Energy,
RJF,Raymond James Financial ,Financials,
RTN,Raytheon,Industrials,
O,Realty Income Corporation,Real Estate,
REG,Regency Centers Corporation,Real Estate,
REGN,Regeneron,Health Care,
RF,Regions Financial ,Financials,
RSG,Republic Services,Industrials,
RMD,ResMed,Health Care,
RHI,Robert Half International,Industrials,
ROK,Rockwell Automation ,Industrials,
ROP,Roper Technologies,Industrials,
ROST,Ross Stores,Consumer Discretionary,
RCL,Royal Caribbean Cruises,Consumer Discretionary,
SPGI,S&P Global ,Financials,
CRM,Salesforce,Information Technology,
SBAC,SBA Communications,Real Estate,
SLB,Schlumberger ,Energy,
STX,Seagate Technology,Information Technology,
SEE,Sealed Air,Materials,
SRE,Sempra Energy,Utilities,
SHW,Sherwin-Williams,Materials,
SPG,Simon Property Group,Real Estate,
SWKS,Skyworks Solutions,Information Technology,
SLG,SL Green Realty,Real Estate,
SNA,Snap-On ,Consumer Discretionary,
SO,The Southern Company,Utilities,
LUV,Southwest Airlines,Industrials,
SWK,Stanley Black & Decker,Consumer Discretionary,
SBUX,Starbucks ,Consumer Discretionary,
STT,State Street ,Financials,
SRCL,Stericycle,Industrials,
SYK,Stryker ,Health Care,
SIVB,SVB Financial,Financials,
SYF,Synchrony Financial,Financials,
SNPS,Synopsys ,Information Technology,
SYY,Sysco ,Consumer Staples,
TROW,T. Rowe Price,Financials,
TTWO,Take-Two Interactive,Information Technology,
TPR,Tapestry,Consumer Discretionary,
TGT,Target ,Consumer Discretionary,
TEL,TE Connectivity ,Information Technology,
FTI,TechnipFMC,Energy,
TXN,Texas Instruments,Information Technology,
TXT,Textron ,Industrials,
BK,The Bank of New York Mellon ,Financials,
CLX,The Clorox Company,Consumer Staples,
COO,The Cooper Companies,Health Care,
HSY,The Hershey Company,Consumer Staples,
MOS,The Mosaic Company,Materials,
TRV,The Travelers Companies ,Financials,
DIS,The Walt Disney Company,Consumer Discretionary,
TMO,Thermo Fisher Scientific,Health Care,
TIF,Tiffany,Consumer Discretionary,
TWX,Time Warner ,Consumer Discretionary,
TJX,TJX Companies ,Consumer Discretionary,
TSCO,Tractor Supply Company,Consumer Discretionary,
TDG,TransDigm Group,Industrials,
TRIP,TripAdvisor,Consumer Discretionary,
FOXA,Twenty-First Century Fox,Consumer Discretionary,
FOX,Twenty-First Century Fox,Consumer Discretionary,
TSN,Tyson Foods,Consumer Staples,
USB,U.S. Bancorp,Financials,
UDR,UDR Inc,Real Estate,
ULTA,Ulta Beauty,Consumer Discretionary,
UAA,Under Armour,Consumer Discretionary,
UA,Under Armour,Consumer Discretionary,
UNP,Union Pacific,Industrials,
UAL,United Continental,Industrials,
UNH,United Health,Health Care,
UPS,United Parcel Service,Industrials,
URI,United Rentals,Industrials,
UTX,United Technologies,Industrials,
UHS,Universal Health Services,Health Care,
UNM,Unum Group,Financials,
VFC,V.F. ,Consumer Discretionary,
VLO,Valero Energy,Energy,
VAR,Varian Medical Systems,Health Care,
VTR,Ventas Inc,Real Estate,
VRSN,Verisign ,Information Technology,
VRSK,Verisk Analytics,Industrials,
VZ,Verizon Communications,Telecommunication Services,
VRTX,Vertex Pharmaceuticals Inc,Health Care,
V,Visa ,Information Technology,
VNO,Vornado Realty Trust,Real Estate,
VMC,Vulcan Materials,Materials,
WMT,Wal-Mart Stores,Consumer Staples,
WBA,Walgreens Boots Alliance,Consumer Staples,
WM,Waste Management ,Industrials,
WAT,Waters Corporation,Health Care,
WEC,Wec Energy,Utilities,
WFC,Wells Fargo,Financials,
WELL,Welltower ,Real Estate,
WDC,Western Digital,Information Technology,
WU,Western Union,Information Technology,
WRK,WestRock Company,Materials,
WY,Weyerhaeuser ,Real Estate,
WHR,Whirlpool ,Consumer Discretionary,
WMB,Williams,Energy,
WLTW,Willis Towers Watson,Financials,
WYNN,Wynn Resorts,Consumer Discretionary,
XEL,Xcel Energy,Utilities,
XRX,Xerox ,Information Technology,
XLNX,Xilinx,Information Technology,
XYL,Xylem ,Industrials,
YUM,Yum! Brands,Consumer Discretionary,
ZBH,Zimmer Biomet,Health Care,
ZION,Zions Bancorp,Financials,
ZTS,Zoetis,Health Care,
^VIX,Vix,Index,
BTC-USD,Bitcoin,Crypto,
XRP-USD,Ripple,Crypto,
DASH-USD,Dash,Crypto,
ETH-USD,Ethereum,Crypto,
XMR-USD,Monero,Crypto,
^GSPC,S&P 500,Index,
^IXIC,Nasdaq,Index,
^DJT,Dow Jones Transportation,Index,
^RUT,Russell 2000,Index,
RIOT,Riot blockchain,,
TSLA,Tesla motors,,
IAU,iShares Gold Trust,,
BYND,Beyond Meat,,
RACE,Ferrari,,
ISP.MI,Intesa SanPaolo,Financial,
ENEL.MI,Enel,Energy,
AX,Axos,Financial,
BRE.MI,Brembo,,
SAP.DE,SAP,,
BAS.DE,Basf,,
UL,Unilever,,
IEMB.MI,iShares J.P. Morgan $ EM Bond UCITS ETF USD,,
NEXI.MI,Nexi,,
FBK,Fineco Bank,,
DAI.DE,Daimler,,
ABB,Abb,,
TS,Tenaris,,
SIE.DE,Siemens,,
Nok,Nokia,,
VUZI,Vuzix,,
CYBR,CyberArk,,
GOLD,Barrick Gold,,
BABA,Alibaba,,
CANG,Cango,,
XCS6.L,China ETF,,